ORF,Gene,Well ID,Well cell count,Mean Intensity 488nm,STD Intensity 488nm,Median Intensity 488nm
YNL189W,SRP1,14E6,3,123.51617333333333,5.4154959422044975,124.64782
YOR361C,PRT1,9N20,17,123.62812352941177,19.410466742206367,112.51422
YEL051W,VMA8,2A19,7,123.90485571428572,31.442236366336314,113.06023
YIL046W-A,YIL046W-A,2F8,6,123.91452,33.53103810907262,113.69319
YDR234W,LYS4,1D6,4,124.3819125,16.7877519238052,123.72065500000001
YJR123W,RPS5,12D4,26,124.51124653846158,18.127260708722197,115.153055
YKL034W,TUL1,16B19,4,125.481605,20.63225937125081,119.201515
YDL027C,MRX9,1B1,6,125.5990483333333,17.70908813695094,126.75797
YOL023W,IFM1,4G4,13,125.79795615384617,24.75599250542534,117.25402
YHR053C,CUP1-1,2L23,20,126.08349450000003,24.968073388075222,111.508555
YNR044W,AGA1,16F6,30,126.356036,31.20726040503424,107.70529
YER055C,HIS1,5C24,30,126.43083233333333,27.66524289277765,113.204385
YPL118W,MRP51,12L18,13,126.61679846153844,27.101950624676398,110.95556
YNL248C,RPA49,5I20,1326,126.64021701357473,9.288551625190614,127.834045
YGR161W-C,YGR161W-C,13F10,7,126.69361857142859,32.56142237022641,114.25783
YJL104W,PAM16,15O5,59,126.7184476271186,22.222560512708803,118.32695
YJL134W,LCB3,3A7,12,126.756685,16.255981107098286,130.12373
YOL077C,BRX1,9M7,21,126.76201619047617,17.517567304599538,117.26984
YMR214W,SCJ1,16N7,25,127.72218359999997,18.398846847534333,124.97813
YMR272W-B,YMR272W-B,16B10,6,127.83224666666666,33.45115458724059,109.652885
YLR261C,VPS63,11B23,7,127.91551857142858,23.312630030623193,125.924
YNL224C,SQS1,10I23,12,127.9571475,23.435855409236094,123.07664
YJL184W,GON7,9F8,10,128.03387099999998,30.60596750509665,118.934135
YDR117C,TMA64,10C2,10,128.112326,21.262263663987323,118.39669
YAL008W,FUN14,1A5,27,128.21306555555554,23.80778037169222,115.22466
YMR283C,RIT1,12O1,31,128.25329419354838,21.698137026434285,119.03068
YNL160W,YGP1,16O6,36,128.3973525,16.292884090938486,126.589615
YKR083C,DAD2,9K9,18,128.44899944444444,20.318147665997703,119.42116999999999
YJR109C,CPA2,5I24,1458,128.72823492455422,11.12926582660624,130.03602
YMR228W,MTF1,9I20,5,128.761572,22.64195444257783,118.39796
YNL320W,YNL320W,16D22,7,128.92310571428573,20.305529860600256,121.094
YNL252C,MRPL17,15J22,10,128.93368600000002,27.57249461279128,113.240865
YOR048C,RAT1,12O9,34,129.35518823529412,25.294302713087028,114.64858
YPR174C,YPR174C,12O2,35,129.47351828571425,22.847024162442136,119.08777
YIL156W,UBP7,11B3,8,129.7488025,26.73782751789561,117.409645
YOR351C,MEK1,9P21,7,129.75884714285715,20.083743313009585,142.67702
YER104W,RTT105,5I22,1548,130.22525787467703,11.894723666912569,131.23709000000002
YJR080C,AIM24,15G16,17,130.52948411764706,17.074866911825424,119.41003
YDR310C,SUM1,12K7,45,130.53031444444449,23.454207215445628,118.76584
YHR172W,SPC97,10B12,21,130.58540857142856,25.962753668108338,119.38313
YOR380W,RDR1,6E14,13,130.9123723076923,13.459456195969409,126.47333
YLR359W,ADE13,11B21,7,130.94435714285711,28.748422141352215,121.21519
YKL125W,RRN3,7A17,23,130.95090347826087,29.87422193257601,119.01211
YPR017C,DSS4,4H22,26,131.13175807692306,27.310126327453126,118.295985
YPL154C,PEP4,16N8,18,131.28509666666667,15.7873183873457,132.27229499999999
YPR139C,LOA1,4N10,29,131.35136034482758,32.358767608137796,111.94962
YLR447C,VMA6,3N13,10,131.51849399999998,23.18664150237766,130.68
YJL047C,RTT101,9L8,21,131.55774714285712,22.31747827687621,119.45193
YGL206C,CHC1,2I2,19,131.61557368421055,29.074367590326826,113.64407
YNL069C,RPL16B,14B21,7,131.70574285714287,31.220524424142162,112.67831
YGR282C,BGL2,16E4,27,131.77268074074075,15.990171389009065,138.58585
YBR093C,PHO5,16C5,8,131.79496875,17.67079908377453,136.276285
YPL200W,CSM4,4F10,1137,132.12976204045736,14.059164995928516,135.22264
YGR150C,CCM1,12P1,32,132.143383125,23.70044746159943,120.90370999999999
YOR302W,YOR302W,10H3,21,132.1587542857143,24.76744305599643,120.51671
YCL048W-A,YCL048W-A,16E3,17,132.30516352941177,18.023216992555376,134.40205
YDL085W,NDE2,15B15,87,132.388838045977,13.645442204143158,135.76251
YLL038C,ENT4,3K14,15,132.49251199999998,25.39647863761268,136.48402
YJL052C-A,YJL052C-A,16M6,33,132.51439121212118,18.395608045909142,135.26852
YDL166C,FAP7,13I10,16,132.52559000000002,28.538879847963194,117.897205
YAR071W,PHO11,16A15,12,132.53593750000002,19.94680152448513,132.767495
YER170W,ADK2,5I23,2362,132.54270414479248,13.129411951666253,134.10285
YLR369W,SSQ1,12P6,56,132.6287732142857,27.318028094318038,114.973105
YKL184W,SPE1,9G9,18,132.65837277777777,31.407987806541446,118.33483000000001
YBR024W,SCO2,15A17,707,132.71250405940594,10.910408627545381,132.86957
YBR269C,SDH8,15A20,6,133.02127666666667,11.680358085548008,133.31517000000002
YGR014W,MSB2,16C10,11,133.2443409090909,29.650999428900693,116.99721
YDL075W,RPL31A,10C9,11,133.30927363636363,33.19691951770564,120.91065
YAL011W,SWC3,12F5,22,133.43650318181815,28.591493473980677,116.52979500000001
YNL300W,TOS6,16O8,51,133.51853960784317,20.377267093669943,133.09407
YFL065C,YFL065C,15J21,10,133.559202,27.273544189478155,140.068735
YDR159W,SAC3,6E17,7,133.66459,16.948442047454783,136.45259
YJL111W,CCT7,6F14,11,133.8428609090909,17.665134662605013,139.59084
YJL139C,YUR1,3A9,4,133.85936999999998,27.65914753954166,132.90967
YKL112W,ABF1,5A17,38,133.86910000000003,22.894995857374713,129.328645
YHR101C,BIG1,16G4,33,133.95327121212122,14.78258734631576,138.07048
YBR146W,MRPS9,15A15,131,133.9782380916031,14.555226843800613,136.37363
YEL053C,MAK10,6C14,179,134.40573759776527,13.273007889762855,136.43819
YKL046C,DCW1,16B23,3,134.41013333333333,48.50960354351118,108.55719
YKR044W,UIP5,16D23,11,134.43498454545454,20.968863708171394,121.28634
YGR062C,COX18,15E19,5,134.482036,21.032913419016154,141.23663
